Gene,Non-unique Gene name,Annotation,2K-1,3K-6,6K11,C1BHIC5,C3ACET53A,PB25,PA7,PAO1
group_9462,emrA;,hemolysin D;hypothetical protein,PDAIHB_19005,PBCHDC_24290,,BBDLCB_07985,MADGKI_03360,PBCHDC_24290,PNMAHC_08280,FJKPLL_17485
group_9435,lpdA,dihydrolipoyl dehydrogenase,PDAIHB_02300,PBCHDC_08980,KMNHBM_08980,BBDLCB_06065,MADGKI_20605,PBCHDC_08980,,FJKPLL_24865
group_9431,pntA,NAD(P)(+) transhydrogenase,PDAIHB_18205,PBCHDC_25575,KMNHBM_25480,BBDLCB_20875,,PBCHDC_25575,PNMAHC_01310,FJKPLL_00800
group_9403,,DUF1244 domain-containing protein,PDAIHB_19180,PBCHDC_24465,,BBDLCB_08160,MADGKI_03185,PBCHDC_24465,PNMAHC_08110,FJKPLL_17665
copZ,copZ,copper resistance protein CopZ,PDAIHB_19770,PBCHDC_25055,,BBDLCB_08750,MADGKI_02595,PBCHDC_25055,PNMAHC_07530,FJKPLL_18350
group_9372,,QslA-E domain-containing protein,PDAIHB_12055,PBCHDC_17765,KMNHBM_18265,BBDLCB_12350,MADGKI_13485,PBCHDC_17765,,FJKPLL_06245
group_9345,,FAD/NAD(P)-binding oxidoreductase,PDAIHB_13340,PBCHDC_16485,KMNHBM_16980,BBDLCB_11165,MADGKI_12300,PBCHDC_16485,,FJKPLL_07500
group_9324,,copper transporter,PDAIHB_24195,PBCHDC_22055,KMNHBM_22850,BBDLCB_17315,MADGKI_05070,PBCHDC_22055,PNMAHC_25340,FJKPLL_23660
ydeN,ydeN,alpha/beta hydrolase,PDAIHB_18235,PBCHDC_25605,KMNHBM_25510,BBDLCB_20845,,PBCHDC_25605,PNMAHC_01340,FJKPLL_00830
amrZ,amrZ,transcriptional regulator AmrZ,PDAIHB_18900,PBCHDC_24185,,BBDLCB_07880,MADGKI_03465,PBCHDC_24185,PNMAHC_08380,FJKPLL_17380
grxD,grxD,Grx4 family monothiol glutaredoxin,PDAIHB_19545,PBCHDC_24830,,BBDLCB_08525,MADGKI_02820,PBCHDC_24830,PNMAHC_07745,FJKPLL_18135
group_9291,glpK,glycerol kinase,PDAIHB_13330,PBCHDC_16495,KMNHBM_16990,BBDLCB_11175,MADGKI_12310,PBCHDC_16495,,FJKPLL_07490
group_9229,,hypothetical protein,PDAIHB_15555,PBCHDC_20505,KMNHBM_21695,BBDLCB_18740,MADGKI_11240,PBCHDC_20505,PNMAHC_17145,FJKPLL_08800
group_9198,,HopJ type III effector protein,PDAIHB_19185,PBCHDC_24470,,BBDLCB_08165,MADGKI_03180,PBCHDC_24470,PNMAHC_08105,FJKPLL_17670
mucD,mucD,serine protease MucD,PDAIHB_25525,PBCHDC_12675,KMNHBM_14250,BBDLCB_15060,MADGKI_17145,PBCHDC_12675,PNMAHC_22890,FJKPLL_03765
pntB,pntB,NAD synthetase,PDAIHB_18210,PBCHDC_25580,KMNHBM_25485,BBDLCB_20870,,PBCHDC_25580,PNMAHC_01315,FJKPLL_00805
group_9037,cheA,chemotaxis protein CheA,PDAIHB_18120,PBCHDC_25490,KMNHBM_25395,BBDLCB_20960,,PBCHDC_25490,PNMAHC_01235,FJKPLL_00715
lecA,lecA,PA-I galactophilic lectin,PDAIHB_17075,PBCHDC_19430,KMNHBM_19705,BBDLCB_00425,MADGKI_08635,PBCHDC_19430,,FJKPLL_13060
glk,glk,glucokinase,PDAIHB_22615,PBCHDC_13540,KMNHBM_13900,BBDLCB_06840,,PBCHDC_13540,PNMAHC_09330,FJKPLL_16355
folX,folX,dihydroneopterin triphosphate 2'-epimerase,PDAIHB_19175,PBCHDC_24460,,BBDLCB_08155,MADGKI_03190,PBCHDC_24460,PNMAHC_08115,FJKPLL_17660
group_8977,,DUF4845 domain-containing protein,PDAIHB_25540,PBCHDC_12690,KMNHBM_14235,BBDLCB_15045,MADGKI_17160,PBCHDC_12690,PNMAHC_22875,FJKPLL_03780
mapZ,mapZ,cyclic di-GMP-binding protein MapZ,PDAIHB_24185,PBCHDC_22045,KMNHBM_22860,BBDLCB_17305,MADGKI_05060,PBCHDC_22045,PNMAHC_25330,FJKPLL_23650
trkG,trkG,potassium transporter TrkH,PDAIHB_22525,PBCHDC_13630,KMNHBM_13810,BBDLCB_06930,,PBCHDC_13630,PNMAHC_09240,FJKPLL_16445
group_8846,exbD,Biopolymer transport protein ExbD,PDAIHB_18225,PBCHDC_25595,KMNHBM_25500,BBDLCB_20855,,PBCHDC_25595,PNMAHC_01330,FJKPLL_00820
group_8811,menE,fadK,PDAIHB_11925,PBCHDC_17895,KMNHBM_16770,BBDLCB_12505,MADGKI_13640,PBCHDC_17895,,FJKPLL_06095
mscL,mscL,large-conductance mechanosensitive channel protein MscL,PDAIHB_24215,PBCHDC_22075,KMNHBM_22830,BBDLCB_17335,MADGKI_05090,PBCHDC_22075,PNMAHC_25365,FJKPLL_23680
group_8717,fabH,Uncharacterized PhzA/B-like protein PA3332,PDAIHB_21865,PBCHDC_14290,KMNHBM_13150,BBDLCB_07610,MADGKI_22185,PBCHDC_14290,,FJKPLL_17110
tsi4,tsi4,Immune protein Tsi4,PDAIHB_03320,PBCHDC_00280,KMNHBM_00280,BBDLCB_01575,MADGKI_07485,PBCHDC_00280,,FJKPLL_14200
group_8610,caiD,crotonase/enoyl-CoA hydratase family protein,PDAIHB_15580,PBCHDC_20530,KMNHBM_21670,BBDLCB_18765,MADGKI_11215,PBCHDC_20530,PNMAHC_17120,FJKPLL_08825
panE,;panE,putative 2-dehydropantoate 2-reductase;2-dehydropantoate 2-reductase,PDAIHB_15600,PBCHDC_20550,KMNHBM_21650,BBDLCB_18785,MADGKI_11195,PBCHDC_20550,PNMAHC_17100,FJKPLL_08845
group_8606,,hypothetical protein,PDAIHB_15615,PBCHDC_20565,KMNHBM_21635,BBDLCB_18800,MADGKI_11180,PBCHDC_20565,PNMAHC_17085,FJKPLL_08860
cysH,cysH;,phosphoadenylyl-sulfate reductase,PDAIHB_15620,PBCHDC_20570,KMNHBM_21630,BBDLCB_18805,MADGKI_11175,PBCHDC_20570,PNMAHC_17080,FJKPLL_08865
rluB,rluB;,23S rRNA pseudouridine(2605) synthase RluB;Pseudouridine synthase;pseudouridine synthase,PDAIHB_05770,PBCHDC_02730,KMNHBM_02730,BBDLCB_03745,,PBCHDC_02730,PNMAHC_09405,FJKPLL_16290
fliN,fliN,flagellar motor switch protein FliN,PDAIHB_13110,PBCHDC_16715,KMNHBM_17210,BBDLCB_11390,MADGKI_12525,PBCHDC_16715,PNMAHC_18705,FJKPLL_07270
bfr,bfr,bacterioferritin,PDAIHB_19535,PBCHDC_24820,,BBDLCB_08515,MADGKI_02830,PBCHDC_24820,PNMAHC_07755,FJKPLL_18125
group_8487,cynX,MFS transporter,PDAIHB_16715,PBCHDC_19070,KMNHBM_19345,BBDLCB_00050,MADGKI_09010,PBCHDC_19070,PNMAHC_13260,FJKPLL_12685
group_8450,cheW,chemotaxis protein CheW,PDAIHB_18110,PBCHDC_25480,KMNHBM_25385,BBDLCB_20970,,PBCHDC_25480,PNMAHC_01225,FJKPLL_00705
ilvN,ilvN,acetolactate synthase small subunit,PDAIHB_03020,PBCHDC_09700,KMNHBM_09700,BBDLCB_06785,,PBCHDC_09700,PNMAHC_26125,FJKPLL_24150
hasR,hasR,heme uptake receptor HasR,PDAIHB_19020,PBCHDC_24305,,BBDLCB_08000,MADGKI_03345,PBCHDC_24305,PNMAHC_08265,FJKPLL_17500
group_8371,,thioredoxin family protein,PDAIHB_12020,PBCHDC_17800,KMNHBM_16865,BBDLCB_12410,MADGKI_13545,PBCHDC_17800,,FJKPLL_06190
hxlR,hxlR,transcriptional regulator,PDAIHB_12745,PBCHDC_17080,KMNHBM_17580,BBDLCB_11675,MADGKI_12810,PBCHDC_17080,,FJKPLL_06920
group_8358,,DUF3015 domain-containing protein,PDAIHB_24180,PBCHDC_22040,KMNHBM_22865,BBDLCB_17300,MADGKI_05055,PBCHDC_22040,PNMAHC_25325,FJKPLL_23645
group_8272,,hypothetical protein,PDAIHB_22595,PBCHDC_13560,KMNHBM_13880,BBDLCB_06860,,PBCHDC_13560,PNMAHC_09310,FJKPLL_16375
group_8271,,DUF4123 domain-containing protein,PDAIHB_06385,PBCHDC_03345,KMNHBM_03345,BBDLCB_10465,MADGKI_00875,PBCHDC_03345,,FJKPLL_20050
group_8227,cutS,(2Fe-2S)-binding protein,PDAIHB_24250,PBCHDC_22110,KMNHBM_22795,BBDLCB_17370,MADGKI_05125,PBCHDC_22110,PNMAHC_25405,FJKPLL_23715
group_8217,paaY,gamma carbonic anhydrase family protein,PDAIHB_27865,PBCHDC_26520,KMNHBM_24830,BBDLCB_21530,MADGKI_23520,PBCHDC_26520,PNMAHC_00320,FJKPLL_00150
pA2365,pA2365,hypothetical protein,PDAIHB_22820,PBCHDC_22505,KMNHBM_23470,BBDLCB_23685,MADGKI_23205,PBCHDC_22505,PNMAHC_13965,FJKPLL_12010
group_8154,,DUF2975 domain-containing protein,PDAIHB_03370,PBCHDC_00330,KMNHBM_00330,BBDLCB_01625,MADGKI_07435,PBCHDC_00330,,FJKPLL_14250
dcd,dcd,dCTP deaminase,PDAIHB_19385,PBCHDC_24670,,BBDLCB_08365,MADGKI_02980,PBCHDC_24670,PNMAHC_07905,FJKPLL_17870
cttP,;cttP,chemotaxis transducer;trichloroethylene chemotactic transducer CttP,PDAIHB_18125,PBCHDC_25495,KMNHBM_25400,BBDLCB_20955,,PBCHDC_25495,PNMAHC_01240,FJKPLL_00720
mntP,mntP,manganese efflux pump MntP,PDAIHB_04405,PBCHDC_01365,KMNHBM_01365,BBDLCB_02330,MADGKI_06735,PBCHDC_01365,,FJKPLL_14905
group_8098,lemA,LemA family protein,PDAIHB_13760,PBCHDC_06375,KMNHBM_05335,BBDLCB_16050,MADGKI_03805,PBCHDC_06375,,FJKPLL_22400
group_8041,acrR,TetR/AcrR family transcriptional regulator,PDAIHB_03265,PBCHDC_00225,KMNHBM_00225,BBDLCB_01520,MADGKI_07540,PBCHDC_00225,,FJKPLL_14145
group_8016,yecA,YecA family protein,PDAIHB_13090,PBCHDC_16735,KMNHBM_17230,BBDLCB_11410,MADGKI_12545,PBCHDC_16735,PNMAHC_18735,FJKPLL_07250
yciB,yciB,septation protein A,PDAIHB_22570,PBCHDC_13585,KMNHBM_13855,BBDLCB_06885,,PBCHDC_13585,PNMAHC_09285,FJKPLL_16400
group_7978,acrR,TetR family transcriptional regulator,PDAIHB_04510,PBCHDC_01470,KMNHBM_01470,BBDLCB_02435,MADGKI_06630,PBCHDC_01470,,FJKPLL_15010
group_7903,ahpC,alkyl hydroperoxide reductase,PDAIHB_19525,PBCHDC_24810,,BBDLCB_08505,MADGKI_02840,PBCHDC_24810,PNMAHC_07765,FJKPLL_18115
group_7870,acrR,TetR family transcriptional regulator,PDAIHB_11980,PBCHDC_17840,KMNHBM_16825,BBDLCB_12450,MADGKI_13585,PBCHDC_17840,,FJKPLL_06150
cheA,cheA;,chemotaxis protein CheA,PDAIHB_18115,PBCHDC_25485,KMNHBM_25390,BBDLCB_20965,,PBCHDC_25485,PNMAHC_01230,FJKPLL_00710
group_7806,rhtB,lysine transporter LysE,PDAIHB_23115,PBCHDC_22210,KMNHBM_23765,BBDLCB_23980,MADGKI_22910,PBCHDC_22210,,FJKPLL_11715
group_7805,,DUF2185 domain-containing protein,PDAIHB_16735,PBCHDC_19090,KMNHBM_19365,BBDLCB_00070,MADGKI_08990,PBCHDC_19090,PNMAHC_13240,FJKPLL_12705
group_7796,ubiG,SAM-dependent methyltransferase,PDAIHB_02440,PBCHDC_09120,KMNHBM_09120,BBDLCB_06205,MADGKI_20745,PBCHDC_09120,,FJKPLL_24730
group_7728,tsaC,L-threonylcarbamoyladenylate synthase,PDAIHB_22580,PBCHDC_13575,KMNHBM_13865,BBDLCB_06875,,PBCHDC_13575,PNMAHC_09295,FJKPLL_16390
group_7663,ahpC,peroxiredoxin,PDAIHB_19235,PBCHDC_24520,,BBDLCB_08215,MADGKI_03130,PBCHDC_24520,PNMAHC_08055,FJKPLL_17720
group_7627,hisM,amino acid ABC transporter,PDAIHB_12130,PBCHDC_17690,KMNHBM_18190,BBDLCB_12275,MADGKI_13410,PBCHDC_17690,PNMAHC_19900,FJKPLL_06320
group_7608,acrR,TetR family transcriptional regulator,PDAIHB_06035,PBCHDC_02995,KMNHBM_02995,BBDLCB_10815,MADGKI_00525,PBCHDC_02995,PNMAHC_05430,FJKPLL_20400
pscR,pscR,SctR family type III secretion system export apparatus subunit PscR,PDAIHB_15300,PBCHDC_20250,KMNHBM_21950,BBDLCB_18485,MADGKI_11495,PBCHDC_20250,,FJKPLL_08545
group_7520,dedA,DedA family protein,PDAIHB_23715,PBCHDC_23565,KMNHBM_22730,BBDLCB_26425,MADGKI_26350,PBCHDC_23565,PNMAHC_05160,FJKPLL_20670
group_7510,,GntR family transcriptional regulator,PDAIHB_12195,PBCHDC_17625,KMNHBM_18125,BBDLCB_12210,MADGKI_13345,PBCHDC_17625,PNMAHC_19835,FJKPLL_06385
group_7496,,DNA-binding response regulator,PDAIHB_25470,PBCHDC_12620,KMNHBM_14305,BBDLCB_15115,MADGKI_17090,PBCHDC_12620,PNMAHC_22945,FJKPLL_03710
rnt,rnt,ribonuclease T,PDAIHB_19520,PBCHDC_24805,,BBDLCB_08500,MADGKI_02845,PBCHDC_24805,PNMAHC_07770,FJKPLL_18110
rnc,rnc,ribonuclease III,PDAIHB_25545,PBCHDC_12695,KMNHBM_14230,BBDLCB_15040,MADGKI_17165,PBCHDC_12695,PNMAHC_22870,FJKPLL_03785
ung,ung,uracil-DNA glycosylase,PDAIHB_25440,PBCHDC_12590,KMNHBM_14335,BBDLCB_15145,MADGKI_17060,PBCHDC_12590,PNMAHC_22975,FJKPLL_03680
group_7191,artM,amino acid ABC transporter permease,PDAIHB_04480,PBCHDC_01440,KMNHBM_01440,BBDLCB_02405,MADGKI_06660,PBCHDC_01440,,FJKPLL_14980
phnL,phnL,phosphonate C-P lyase system protein PhnL,PDAIHB_18850,PBCHDC_24135,,BBDLCB_07830,MADGKI_21965,PBCHDC_24135,PNMAHC_08430,FJKPLL_17330
tolQ,tolQ,biopolymer transporter ExbB,PDAIHB_18220,PBCHDC_25590,KMNHBM_25495,BBDLCB_20860,,PBCHDC_25590,PNMAHC_01325,FJKPLL_00815
group_7131,gloB,MBL fold metallo-hydrolase,PDAIHB_12965,PBCHDC_16860,KMNHBM_17360,BBDLCB_11535,MADGKI_12670,PBCHDC_16860,PNMAHC_18910,FJKPLL_07125
group_7116,menH,alpha/beta hydrolase,PDAIHB_19130,PBCHDC_24415,,BBDLCB_08110,MADGKI_03235,PBCHDC_24415,PNMAHC_08155,FJKPLL_17610
lrgB,lrgB,LrgB-like family,PDAIHB_19140,PBCHDC_24425,,BBDLCB_08120,MADGKI_03225,PBCHDC_24425,PNMAHC_08145,FJKPLL_17620
group_7027,,class I SAM-dependent methyltransferase,PDAIHB_11930,PBCHDC_17890,KMNHBM_16775,BBDLCB_12500,MADGKI_13635,PBCHDC_17890,,FJKPLL_06100
group_7007,mngR,GntR family transcriptional regulator,PDAIHB_23150,PBCHDC_22175,KMNHBM_23800,BBDLCB_24015,MADGKI_22875,PBCHDC_22175,,FJKPLL_11680
ccc1,ccc1,VIT family,PDAIHB_06655,PBCHDC_03615,KMNHBM_03615,BBDLCB_10175,MADGKI_01170,PBCHDC_03615,,FJKPLL_19760
pA2362,pA2362,hypothetical protein,PDAIHB_22835,PBCHDC_22490,KMNHBM_23485,BBDLCB_23700,MADGKI_23190,PBCHDC_22490,PNMAHC_13980,FJKPLL_11995
nIF3,nIF3,Nif3-like dinuclear metal center hexameric protein,PDAIHB_14150,PBCHDC_05985,KMNHBM_05725,BBDLCB_16440,MADGKI_04195,PBCHDC_05985,PNMAHC_24190,FJKPLL_22790
group_6897,caiD,crotonase/enoyl-CoA hydratase family protein,PDAIHB_19115,PBCHDC_24400,,BBDLCB_08095,MADGKI_03250,PBCHDC_24400,PNMAHC_08170,FJKPLL_17595
group_6866,glpR,DeoR/GlpR transcriptional regulator,PDAIHB_13345,PBCHDC_16480,KMNHBM_16975,BBDLCB_11160,MADGKI_12295,PBCHDC_16480,,FJKPLL_07505
group_6865,fpr,ferredoxin-NADP reductase,PDAIHB_18960,PBCHDC_24245,,BBDLCB_07940,MADGKI_03405,PBCHDC_24245,PNMAHC_08325,FJKPLL_17440
group_6864,cirA,TonB-dependent receptor,PDAIHB_18185,PBCHDC_25555,KMNHBM_25460,BBDLCB_20895,,PBCHDC_25555,PNMAHC_01290,FJKPLL_00780
group_6852,araD,Putative aldolase class 2 protein PA3430,PDAIHB_19135,PBCHDC_24420,,BBDLCB_08115,MADGKI_03230,PBCHDC_24420,PNMAHC_08150,FJKPLL_17615
group_6831,araC,AraC family transcriptional regulator,PDAIHB_12025,PBCHDC_17795,KMNHBM_18295,BBDLCB_12405,MADGKI_13540,PBCHDC_17795,,FJKPLL_06195
catJ,catJ,3-oxoadipate CoA-transferase subunit B,PDAIHB_18335,PBCHDC_25705,KMNHBM_25610,BBDLCB_20710,,PBCHDC_25705,PNMAHC_01475,FJKPLL_00960
araD,araD,aldolase,PDAIHB_18320,PBCHDC_25690,KMNHBM_25595,BBDLCB_20725,,PBCHDC_25690,PNMAHC_01460,FJKPLL_00945
group_6815,;fecR,iron dicitrate transport regulator FecR;FecR domain-containing protein;hypothetical protein;Periplasmic ferric-dicitrate binding protein FecR regulates iron transport,PDAIHB_19025,PBCHDC_24310,,BBDLCB_08005,MADGKI_03340,PBCHDC_24310,PNMAHC_08260,FJKPLL_17505
pscT,pscT,SctT family type III secretion system export apparatus subunit PscT,PDAIHB_15290,PBCHDC_20240,KMNHBM_21960,BBDLCB_18475,MADGKI_11505,PBCHDC_20240,,FJKPLL_08535
ssuC,ssuC,aliphatic sulfonate ABC transporter permease SsuC,PDAIHB_19200,PBCHDC_24485,,BBDLCB_08180,MADGKI_03165,PBCHDC_24485,PNMAHC_08090,FJKPLL_17685
group_6800,potC,spermidine/putrescine ABC transporter permease PotC,PDAIHB_10125,PBCHDC_12300,KMNHBM_12295,BBDLCB_23360,MADGKI_16300,PBCHDC_12300,,FJKPLL_01470
group_6767,mlaF,ABC transporter ATP-binding protein,PDAIHB_22515,PBCHDC_13640,KMNHBM_13800,BBDLCB_06940,,PBCHDC_13640,PNMAHC_09230,FJKPLL_16455
group_6766,phnE,phosphonate ABC transporter permease protein PhnE,PDAIHB_18885,PBCHDC_24170,,BBDLCB_07865,MADGKI_03480,PBCHDC_24170,PNMAHC_08395,FJKPLL_17365
group_6734,ubiE,SAM-dependent methyltransferase,PDAIHB_02460,PBCHDC_09140,KMNHBM_09140,BBDLCB_06225,MADGKI_20765,PBCHDC_09140,,FJKPLL_24710
group_6719,tagG,ABC transporter permease,PDAIHB_17655,PBCHDC_20010,KMNHBM_20285,BBDLCB_01000,MADGKI_08060,PBCHDC_20010,,FJKPLL_13630
ycgL,ycgL,nucleotidyltransferase,PDAIHB_24060,PBCHDC_21920,KMNHBM_22985,BBDLCB_17180,MADGKI_04935,PBCHDC_21920,,FJKPLL_23525
pssA,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,PDAIHB_03030,PBCHDC_09710,KMNHBM_09710,BBDLCB_06795,,PBCHDC_09710,PNMAHC_26115,FJKPLL_24140
group_6650,,helix-turn-helix transcriptional regulator,PDAIHB_02425,PBCHDC_09105,KMNHBM_09105,BBDLCB_06190,MADGKI_20730,PBCHDC_09105,,FJKPLL_24745
group_6639,hisJ,amino acid ABC transporter substrate-binding protein,PDAIHB_12145,PBCHDC_17675,KMNHBM_18175,BBDLCB_12260,MADGKI_13395,PBCHDC_17675,PNMAHC_19885,FJKPLL_06335
group_6550,,DUF2797 domain-containing protein,PDAIHB_05300,PBCHDC_02260,KMNHBM_02260,BBDLCB_03240,MADGKI_05830,PBCHDC_02260,PNMAHC_09940,FJKPLL_15800
group_6549,,nucleoside-binding protein,PDAIHB_18370,PBCHDC_25740,KMNHBM_25645,BBDLCB_20675,,PBCHDC_25740,PNMAHC_01510,FJKPLL_00995
group_6537,hDOD,histidine kinase,PDAIHB_25480,PBCHDC_12630,KMNHBM_14295,BBDLCB_15105,MADGKI_17100,PBCHDC_12630,PNMAHC_22935,FJKPLL_03720
group_6524,tauB,ABC transporter ATP-binding protein,PDAIHB_18145,PBCHDC_25515,KMNHBM_25420,BBDLCB_20935,,PBCHDC_25515,PNMAHC_01260,FJKPLL_00740
ugpE,ugpE,sugar ABC transporter permease,PDAIHB_22640,PBCHDC_13515,KMNHBM_13925,BBDLCB_06815,,PBCHDC_13515,PNMAHC_09360,FJKPLL_16330
group_6483,tauB,sulfonate ABC transporter ATP-binding protein,PDAIHB_23105,PBCHDC_22220,KMNHBM_23755,BBDLCB_23970,MADGKI_22920,PBCHDC_22220,,FJKPLL_11725
group_6469,oprB,Porin B,PDAIHB_05800,PBCHDC_02760,KMNHBM_02760,BBDLCB_03775,,PBCHDC_02760,PNMAHC_09375,FJKPLL_16320
group_6466,lepB,signal peptidase I,PDAIHB_25535,PBCHDC_12685,KMNHBM_14240,BBDLCB_15050,MADGKI_17155,PBCHDC_12685,PNMAHC_22880,FJKPLL_03775
hexR,hexR,HTH-type transcriptional regulator HexR,PDAIHB_05795,PBCHDC_02755,KMNHBM_02755,BBDLCB_03770,,PBCHDC_02755,PNMAHC_09380,FJKPLL_16315
hchA,hchA,protein deglycase HchA,PDAIHB_08355,PBCHDC_16080,KMNHBM_16305,BBDLCB_12910,MADGKI_19290,PBCHDC_16080,,FJKPLL_05700
group_6361,lysR,LysR family transcriptional regulator,PDAIHB_08340,PBCHDC_16095,KMNHBM_16320,BBDLCB_12895,MADGKI_19305,PBCHDC_16095,,FJKPLL_05715
group_6341,phyH,phytanoyl-CoA dioxygenase family protein,PDAIHB_11940,PBCHDC_17880,KMNHBM_16785,BBDLCB_12490,MADGKI_13625,PBCHDC_17880,,FJKPLL_06110
group_6303,tauD,taurine dioxygenase,PDAIHB_23095,PBCHDC_22230,KMNHBM_23745,BBDLCB_23960,MADGKI_22930,PBCHDC_22230,,FJKPLL_11735
arnD,arnD,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase,PDAIHB_19655,PBCHDC_24940,,BBDLCB_08635,MADGKI_02710,PBCHDC_24940,PNMAHC_07635,FJKPLL_18245
group_6267,lysR,LysR family transcriptional regulator,PDAIHB_13000,PBCHDC_16825,KMNHBM_17325,BBDLCB_11500,MADGKI_12635,PBCHDC_16825,PNMAHC_18875,FJKPLL_07160
group_6231,brkB,ribonuclease BN,PDAIHB_03160,PBCHDC_00120,KMNHBM_00120,BBDLCB_01415,MADGKI_07645,PBCHDC_00120,PNMAHC_12080,FJKPLL_14040
wcaE~~~rhlC,wcaE;rhlC,rhamnosyltransferase;rhamnosyltransferase 2,PDAIHB_08380,PBCHDC_16055,KMNHBM_16280,BBDLCB_12935,MADGKI_19265,PBCHDC_16055,,FJKPLL_05675
group_6218,lysR,LysR family transcriptional regulator,PDAIHB_08305,PBCHDC_16130,KMNHBM_16355,BBDLCB_12855,MADGKI_19345,PBCHDC_16130,,FJKPLL_05750
group_6215,tauD,taurine dioxygenase,PDAIHB_18190,PBCHDC_25560,KMNHBM_25465,BBDLCB_20890,,PBCHDC_25560,PNMAHC_01295,FJKPLL_00785
group_6213,,E3 Ubiquitin ligase,PDAIHB_13755,PBCHDC_06380,KMNHBM_05330,BBDLCB_16045,MADGKI_03800,PBCHDC_06380,,FJKPLL_22395
group_6161,fabG,serine/threonine protein kinase,PDAIHB_19120,PBCHDC_24405,,BBDLCB_08100,MADGKI_03245,PBCHDC_24405,PNMAHC_08165,FJKPLL_17600
group_6145,lysR,LysR family transcriptional regulator,PDAIHB_15530,PBCHDC_20480,KMNHBM_21720,BBDLCB_18715,MADGKI_11265,PBCHDC_20480,,FJKPLL_08775
group_6143,lysR,LysR family transcriptional regulator,PDAIHB_00260,PBCHDC_06940,KMNHBM_06940,BBDLCB_04035,MADGKI_09315,PBCHDC_06940,,FJKPLL_26890
group_6133,dapA,dihydrodipicolinate synthase family protein,PDAIHB_12115,PBCHDC_17705,KMNHBM_18205,BBDLCB_12290,MADGKI_13425,PBCHDC_17705,PNMAHC_19915,FJKPLL_06305
group_6122,ccmA,copper ABC transporter ATP-binding protein,PDAIHB_18945,PBCHDC_24230,,BBDLCB_07925,MADGKI_03420,PBCHDC_24230,PNMAHC_08340,FJKPLL_17425
group_6116,lysR,LysR family transcriptional regulator,PDAIHB_18290,PBCHDC_25660,KMNHBM_25565,BBDLCB_20755,,PBCHDC_25660,PNMAHC_01430,FJKPLL_00915
group_6087,lysR,LysR family transcriptional regulator,PDAIHB_18965,PBCHDC_24250,,BBDLCB_07945,MADGKI_03400,PBCHDC_24250,PNMAHC_08320,FJKPLL_17445
group_6073,lysR,LysR family transcriptional regulator,PDAIHB_17670,PBCHDC_20025,KMNHBM_20300,BBDLCB_01015,MADGKI_08045,PBCHDC_20025,,FJKPLL_13645
lipC,lipC,lipase LipC,PDAIHB_02390,PBCHDC_09070,KMNHBM_09070,BBDLCB_06155,MADGKI_20695,PBCHDC_09070,,FJKPLL_24780
rseC~~~mucC,rseC;mucC,transcriptional regulator;alginate biosynthesis regulator MucC,PDAIHB_25520,PBCHDC_12670,KMNHBM_14255,BBDLCB_15065,MADGKI_17140,PBCHDC_12670,PNMAHC_22895,FJKPLL_03760
ugpA,ugpA,sugar ABC transporter permease,PDAIHB_22635,PBCHDC_13520,KMNHBM_13920,BBDLCB_06820,,PBCHDC_13520,PNMAHC_09355,FJKPLL_16335
cbiB,cbiB,adenosylcobinamide-phosphate synthase CbiB,PDAIHB_12225,PBCHDC_17595,KMNHBM_18095,BBDLCB_12180,MADGKI_13315,PBCHDC_17595,PNMAHC_19805,FJKPLL_06415
group_5973,,AraC family transcriptional regulator,PDAIHB_25430,PBCHDC_12580,KMNHBM_14345,BBDLCB_15155,MADGKI_17050,PBCHDC_12580,PNMAHC_22985,FJKPLL_03670
group_5956,abrB;,Transition state regulatory protein AbrB;AbrB family transcriptional regulator,PDAIHB_25445,PBCHDC_12595,KMNHBM_14330,BBDLCB_15140,MADGKI_17065,PBCHDC_12595,PNMAHC_22970,FJKPLL_03685
group_5934,speB,agmatinase,PDAIHB_12995,PBCHDC_16830,KMNHBM_17330,BBDLCB_11505,MADGKI_12640,PBCHDC_16830,PNMAHC_18880,FJKPLL_07155
cif,cif,CFTR inhibitory factor Cif,PDAIHB_04525,PBCHDC_01485,KMNHBM_01485,BBDLCB_02450,MADGKI_06615,PBCHDC_01485,,FJKPLL_15025
group_5922,ilvA,threo-3-hydroxy-L-aspartate ammonia-lyase,PDAIHB_17680,PBCHDC_20035,KMNHBM_20310,BBDLCB_01025,MADGKI_08035,PBCHDC_20035,,FJKPLL_13655
group_5883,caiD,enoyl-CoA hydratase/isomerase family protein,PDAIHB_03270,PBCHDC_00230,KMNHBM_00230,BBDLCB_01525,MADGKI_07535,PBCHDC_00230,,FJKPLL_14150
fliM,fliM,flagellar motor switch protein FliM,PDAIHB_13105,PBCHDC_16720,KMNHBM_17215,BBDLCB_11395,MADGKI_12530,PBCHDC_16720,PNMAHC_18710,FJKPLL_07265
group_5859,qor,quinone oxidoreductase,PDAIHB_17665,PBCHDC_20020,KMNHBM_20295,BBDLCB_01010,MADGKI_08050,PBCHDC_20020,,FJKPLL_13640
group_5832,,hypothetical protein,PDAIHB_01245,PBCHDC_07925,KMNHBM_07925,BBDLCB_05020,MADGKI_10300,PBCHDC_07925,,FJKPLL_25910
